,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.5759e+00,-1.8508e+00
2,1.4176e+03,2.1824e+00,-1.8720e+00
3,1.7774e+03,1.7949e+00,-1.8175e+00
4,2.2284e+03,1.4447e+00,-1.6981e+00
5,2.7940e+03,1.1437e+00,-1.5373e+00
6,3.5030e+03,9.0039e-01,-1.3542e+00
7,4.3920e+03,7.1523e-01,-1.1693e+00
8,5.5066e+03,5.7303e-01,-9.9447e-01
9,6.9041e+03,4.6801e-01,-8.3700e-01
10,8.6563e+03,3.8971e-01,-6.9728e-01
11,1.0853e+04,3.3301e-01,-5.7801e-01
12,1.3607e+04,2.9053e-01,-4.7704e-01
13,1.7061e+04,2.5972e-01,-3.9209e-01
14,2.1390e+04,2.3710e-01,-3.2143e-01
15,2.6819e+04,2.1945e-01,-2.6184e-01
16,3.3625e+04,2.0659e-01,-2.1809e-01
17,4.2159e+04,1.9745e-01,-1.7603e-01
18,5.2858e+04,1.9196e-01,-1.3831e-01
19,6.6272e+04,1.8541e-01,-1.1170e-01
20,8.3091e+04,1.7542e-01,-7.9149e-02
21,1.0418e+05,1.7585e-01,-6.4502e-02
22,1.3062e+05,1.7336e-01,-4.5693e-02
23,1.6377e+05,1.7519e-01,-2.3439e-02
24,2.0533e+05,1.7070e-01,-7.5628e-03
25,2.5743e+05,1.7504e-01,7.2962e-03
26,3.2277e+05,1.7549e-01,2.9140e-02
27,4.0468e+05,1.7410e-01,4.5732e-02
28,5.0738e+05,1.7807e-01,6.6088e-02
29,6.3614e+05,1.7828e-01,9.6668e-02
30,7.9759e+05,1.8026e-01,1.2118e-01
31,1.0000e+06,1.8651e-01,1.4425e-01
32,7.9759e+05,1.8649e-01,1.2108e-01
33,6.3614e+05,1.8014e-01,9.2935e-02
34,5.0738e+05,1.7754e-01,7.0484e-02
35,4.0468e+05,1.7304e-01,4.4002e-02
36,3.2277e+05,1.7098e-01,3.3465e-02
37,2.5743e+05,1.7479e-01,9.7376e-03
38,2.0533e+05,1.6854e-01,-2.9657e-03
39,1.6377e+05,1.7175e-01,-2.7205e-02
40,1.3062e+05,1.7461e-01,-4.6352e-02
41,1.0418e+05,1.7660e-01,-5.7622e-02
42,8.3091e+04,1.7547e-01,-7.8627e-02
43,6.6272e+04,1.8227e-01,-1.0312e-01
44,5.2858e+04,1.9328e-01,-1.3742e-01
45,4.2159e+04,1.9995e-01,-1.6987e-01
46,3.3625e+04,2.1161e-01,-2.1187e-01
47,2.6819e+04,2.1959e-01,-2.6214e-01
48,2.1390e+04,2.3665e-01,-3.2137e-01
49,1.7061e+04,2.6003e-01,-3.9234e-01
50,1.3607e+04,2.9101e-01,-4.7746e-01
51,1.0853e+04,3.3296e-01,-5.7815e-01
52,8.6563e+03,3.8994e-01,-6.9726e-01
53,6.9041e+03,4.6786e-01,-8.3713e-01
54,5.5066e+03,5.7342e-01,-9.9506e-01
55,4.3920e+03,7.1558e-01,-1.1695e+00
56,3.5030e+03,9.0104e-01,-1.3552e+00
57,2.7940e+03,1.1446e+00,-1.5378e+00
58,2.2284e+03,1.4458e+00,-1.6985e+00
59,1.7774e+03,1.7959e+00,-1.8177e+00
60,1.4176e+03,2.1831e+00,-1.8719e+00
61,1.1307e+03,2.5768e+00,-1.8518e+00
62,9.0179e+02,2.9462e+00,-1.7642e+00
63,7.1926e+02,3.2721e+00,-1.6217e+00
64,5.7367e+02,3.5409e+00,-1.4486e+00
65,4.5755e+02,3.7549e+00,-1.2602e+00
66,3.6494e+02,3.9159e+00,-1.0851e+00
67,2.9107e+02,4.0372e+00,-9.2450e-01
68,2.3215e+02,4.1290e+00,-7.8043e-01
69,1.8516e+02,4.1972e+00,-6.6192e-01
70,1.4768e+02,4.2488e+00,-5.6248e-01
71,1.1779e+02,4.2909e+00,-4.8059e-01
72,9.3947e+01,4.3252e+00,-4.1100e-01
73,7.4931e+01,4.3494e+00,-3.5860e-01
74,5.9538e+01,4.3721e+00,-3.1956e-01
75,4.6991e+01,4.3930e+00,-2.8624e-01
76,3.6825e+01,4.4126e+00,-2.6245e-01
77,2.8642e+01,4.4360e+00,-2.5027e-01
78,2.2099e+01,4.4591e+00,-2.4484e-01
79,1.6907e+01,4.4900e+00,-2.4572e-01
80,1.2819e+01,4.5274e+00,-2.5480e-01
81,9.6267e+00,4.5734e+00,-2.6400e-01
82,7.1569e+00,4.6328e+00,-2.5948e-01
83,5.2641e+00,4.6939e+00,-2.6345e-01
84,3.8284e+00,4.7560e+00,-2.5102e-01
85,2.7515e+00,4.8148e+00,-2.2967e-01
86,1.9531e+00,4.8678e+00,-2.0379e-01
87,1.3686e+00,4.9108e+00,-1.7808e-01
88,9.4639e-01,4.9465e+00,-1.5843e-01
89,6.4562e-01,4.9769e+00,-1.3661e-01
90,4.3451e-01,5.0023e+00,-1.2038e-01
91,2.8857e-01,5.0241e+00,-1.1119e-01
92,1.8924e-01,5.0465e+00,-1.1290e-01
93,1.2266e-01,5.0673e+00,-1.2172e-01
94,7.8703e-02,5.0927e+00,-1.4535e-01
95,5.0090e-02,5.1244e+00,-1.8309e-01
96,3.1698e-02,5.1542e+00,-2.4321e-01
97,2.0000e-02,5.2071e+00,-3.3060e-01
